Occupation,Median wage (US),Projected growth (by 2031),Risk level,Risk level (voted),Job score
Facilities Managers ,"99,030",0.069,0.39,0.2059,7.3/10
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists ","93,180",0.139,0.1086,0.125,7.3/10       
Operations Research Analysts ,"85,720",0.232,0.33,0.36,7.3/10
Robotics Engineers ,"104,600",0,0.0701,0.2302,7.3/10
Industrial Engineers ,"96,350",0.102,0.44,0.34,7.3/10
Anthropologists and Archeologists ,"63,940",0.061,0.0127,0.1892,7.3/10
"Social Work Teachers, Postsecondary ","66,510",0.089,0,0.25,7.3/10
"Special Education Teachers, Preschool ","62,240",0.083,0.1282,0.1346,7.3/10
Fundraisers ,"61,190",0.112,0.37,0.2308,7.2/10
General Internal Medicine Physicians ,"214,460",0.02,0.0144,0.33,7.2/10
Computer Hardware Engineers ,"132,360",0.048,0.1886,0.2933,7.2/10
Database Architects ,"134,870",0.103,0.36,0.41,7.2/10
First-Line Supervisors of Firefighting and Prevention Workers ,"80,150",0.041,0,0.2778,7.2/10
Logistics Engineers ,"77,520",0.277,0.2647,0.38,7.2/10
Exercise Trainers and Group Fitness Instructors ,"45,380",0.189,0.0129,0.36,7.2/10
Chief Executives ,"189,520",-0.073,0,0.2314,7.2/10
Architectural and Engineering Managers ,"159,920",0.023,0.0848,0.31,7.2/10
Political Scientists ,"128,020",0.062,0.31,0.2011,7.2/10
Sustainability Specialists ,"75,990",0.05,0.2245,0.31,7.2/10
"Makeup Artists, Theatrical and Performance ","96,370",0.07,0.0684,0.2388,7.2/10
General and Operations Managers ,"98,100",0.067,0.38,0.31,7.2/10
Police and Sheriff's Patrol Officers ,"65,790",0.031,0.047,0.2001,7.2/10
Genetic Counselors ,"89,990",0.182,0.2731,0.33,7.2/10
"Secondary School Teachers, Except Special and Career/Technical Education ","62,360",0.046,0.1461,0.2693,7.2/10
Astronomers ,"128,330",0.056,0.0963,0.2899,7.2/10
Sales Managers ,"130,600",0.051,0.3,0.37,7.2/10
Loss Prevention Managers ,"128,620",0.06,0.1194,0.41,7.2/10
Financial Managers ,"139,790",0.168,0.65,0.4,7.2/10
Treasurers and Controllers ,"139,790",0.168,0.52,0.48,7.2/10
Wind Energy Operations Managers ,"128,620",0.06,0.1282,0.2083,7.2/10
Wind Energy Development Managers ,"128,620",0.06,0.2439,0.43,7.2/10
Choreographers ,"50,990",0.297,0,0.25,7.2/10
"History Teachers, Postsecondary ","79,400",0.074,0.2297,0.2794,7.2/10
Petroleum Engineers ,"131,800",0.083,0.2862,0.33,7.2/10
