Occupation,Median wage (US),Projected growth (by 2031),Risk level,Risk level (voted),Job score
Financial Examiners ,"82,210",0.21,0.65,0.51,5.7/10
Computer Network Support Specialists ,"68,050",0.074,0.52,0.55,5.6/10
Radiologic Technologists and Technicians ,"65,140",0.063,0.56,0.39,5.6/10
Embalmers ,"49,910",0.035,0.2541,0.2105,5.6/10
Historians ,"64,540",0.045,0.2857,0.2961,5.6/10
Forest Fire Inspectors and Prevention Specialists ,"48,110",0.194,0.1688,0.1875,5.6/10
Medical Assistants ,"38,270",0.158,0.41,0.45,5.6/10
"Maintenance and Repair Workers, General ","44,980",0.05,0.36,0.35,5.6/10
"Family and Consumer Sciences Teachers, Postsecondary ","76,440",0.066,0.2837,0,5.6/10
Avionics Technicians ,"75,450",0.051,0.4,0.36,5.6/10
"Electrical and Electronics Repairers, Commercial and Industrial Equipment ","64,030",0.022,0.46,0.2703,5.6/10
Magnetic Resonance Imaging Technologists ,"80,090",0.072,0.47,0.45,5.6/10
Librarians and Media Collections Specialists ,"61,660",0.058,0.43,0.4,5.5/10
First-Line Supervisors of Personal Service Workers ,"43,680",0.13,0.32,0.25,5.5/10
Phlebotomists ,"38,530",0.102,0.46,0.31,5.5/10
"Securities, Commodities, and Financial Services Sales Agents ","67,480",0.102,0.68,0.5,5.5/10
Document Management Specialists ,"98,740",0.101,0.64,0.8,5.5/10
Funeral Home Managers ,"72,110",0.069,0.37,0.38,5.5/10
Hearing Aid Specialists ,"59,020",0.157,0.45,0.55,5.5/10
"Mining and Geological Engineers, Including Mining Safety Engineers ","97,490",0.019,0.2757,0.35,5.5/10
Farm Equipment Mechanics and Service Technicians ,"48,010",0.107,0.41,0.4,5.5/10
"Captains, Mates, and Pilots of Water Vessels ","95,210",0.012,0.35,0.39,5.5/10
"Insulation Workers, Mechanical ","50,590",0.028,0.32,0.25,5.5/10
Range Managers ,"64,460",0.03,0.0642,0.5,5.5/10
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services ","44,660",0.148,0.2944,0.0625,5.4/10
Residential Advisors ,"35,720",0.1,0.2561,0.55,5.4/10
"Maintenance Workers, Machinery ","53,310",0.078,0.61,0.37,5.4/10
Bus and Truck Mechanics and Diesel Engine Specialists ,"54,360",0.043,0.52,0.31,5.4/10
Tutors ,"36,680",0.145,0.45,0.39,5.4/10
"Property, Real Estate, and Community Association Managers ","60,670",0.028,0.42,0.35,5.4/10
Animal Caretakers ,"29,530",0.299,0.56,0.31,5.4/10
Personal Care Aides ,"30,180",0.254,0.62,0.37,5.4/10
Customs and Border Protection Officers ,"65,790",0.031,0.46,0.4,5.4/10
Geographers ,"88,900",-0.002,0.2472,0.41,5.4/10
Archivists ,"58,640",0.089,0.37,0.45,5.4/10
Agricultural Engineers ,"83,260",0.015,0.0794,0.39,5.4/10
Environmental Economists ,"113,940",0.057,0.54,0.38,5.4/10
Surgical Assistants ,"57,290",0.064,0.1929,0.31,5.4/10
Remote Sensing Scientists and Technologists ,"107,970",0.004,0.272,0.53,5.4/10
Commercial Pilots ,"103,910",0.051,0.54,0.43,5.3/10
Writers and Authors ,"73,150",0.041,0.49,0.34,5.3/10
Construction and Building Inspectors ,"64,480",-0.044,0.2685,0.36,5.3/10
Compliance Officers ,"71,690",0.043,0.59,0.41,5.3/10
Solar Thermal Installers and Technicians ,"60,090",0.019,0.2102,0,5.3/10
Dental Assistants ,"44,820",0.084,0.53,0.4,5.3/10
"Physicians, Pathologists ",-,0.045,0.36,0.36,5.3/10
Environmental Engineering Technologists and Technicians ,"50,980",0.04,0.38,0.25,5.3/10
"First-Line Supervisors of Farming, Fishing, and Forestry Workers ","54,490",0.064,0.42,0.4,5.2/10
Computer Numerically Controlled Tool Programmers ,"60,800",0.211,0.64,0.55,5.2/10
Private Detectives and Investigators ,"52,120",0.056,0.63,0.279,5.2/10
"Camera Operators, Television, Video, and Film ","58,230",0.089,0.49,0.49,5.2/10
Film and Video Editors ,"63,520",0.138,0.56,0.43,5.2/10
Aviation Inspectors ,"79,570",0.018,0.2376,0.44,5.2/10
"Compensation, Benefits, and Job Analysis Specialists ","67,780",0.066,0.51,0.52,5.2/10
Industrial Engineering Technologists and Technicians ,"61,210",0.033,0.35,0.41,5.2/10
Real Estate Sales Agents ,"49,980",0.053,0.34,0.53,5.2/10
Graphic Designers ,"57,990",0.026,0.34,0.5,5.2/10
"First-Line Supervisors of Transportation Workers, All Other ","57,860",0.055,0.47,1,5.2/10
First-Line Supervisors of Material-Moving Machine and Vehicle Operators ,"57,860",0.055,0.5,0.5,5.2/10
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand ","57,860",0.055,0.51,0.2917,5.2/10
First-Line Supervisors of Food Preparation and Serving Workers ,"37,050",0.133,0.53,0.46,5.2/10
Computer User Support Specialists ,"57,890",0.062,0.52,0.51,5.2/10
Online Merchants ,"75,990",0.05,0.72,0.5,5.2/10
Bartenders ,"29,380",0.179,0.53,0.43,5.2/10
Transit and Railroad Police ,"69,150",0.032,0.1258,0.49,5.2/10
Airfield Operations Specialists ,"49,600",0.08,0.44,0.39,5.1/10
Nuclear Medicine Technologists ,"85,300",0.017,0.52,0.31,5.1/10
Surveyors ,"63,080",0.009,0.2535,0.42,5.1/10
Mechanical Engineering Technologists and Technicians ,"61,990",0.021,0.33,0.39,5.1/10
Electrical and Electronic Engineering Technologists and Technicians ,"66,390",-0.004,0.4,0.41,5.1/10
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers ","50,810",0.033,0.1926,0.43,5.1/10
Financial Quantitative Analysts ,"73,810",0.058,0.56,0.46,5.1/10
Surgical Technologists ,"55,960",0.059,0.4,0.49,5.1/10
"Career/Technical Education Teachers, Postsecondary ","59,840",0.018,0.2113,0.47,5.1/10
Speech-Language Pathology Assistants ,"40,420",0.066,0.37,0.5,5.1/10
Regulatory Affairs Specialists ,"71,690",0.043,0.55,0.47,5.1/10
Amusement and Recreation Attendants ,"27,780",0.134,0.74,0.32,5.1/10
Aircraft Cargo Handling Supervisors ,"53,490",0.105,0.5,0.35,5.1/10
"Derrick Operators, Oil and Gas ","51,220",0.169,0.58,0.58,5.1/10
Spa Managers ,"56,090",0.095,0.41,0.58,5.0/10
Farm and Home Management Educators ,"53,450",0.005,0.0479,0.37,5.0/10
Ship Engineers ,"87,300",-0.007,0.41,0.31,5.0/10
"Fine Artists, Including Painters, Sculptors, and Illustrators ","57,560",0.064,0.42,0.38,5.0/10
"Career/Technical Education Teachers, Middle School ","62,630",0.034,0.1685,0.41,5.0/10
"Environmental Science and Protection Technicians, Including Health ","48,380",0.059,0.2292,0.35,5.0/10
Hydroelectric Plant Technicians ,"93,060",-0.155,0.2485,0.88,5.0/10
Radiologists ,-,0.037,0.2036,0.5,5.0/10
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay ","93,720",-0.05,0.35,0.49,5.0/10
Pest Control Workers ,"38,310",0.068,0.55,0.2586,5.0/10
First-Line Supervisors of Non-Retail Sales Workers ,"82,850",-0.003,0.51,0.43,5.0/10
Recycling Coordinators ,"57,860",0.055,0.56,0.56,5.0/10
Accountants and Auditors ,"78,000",0.056,0.71,0.64,4.9/10
Signal and Track Switch Repairers ,"81,300",0.037,0.55,0.35,4.9/10
Costume Attendants ,"48,470",0.189,0.44,0.51,4.9/10
Air Traffic Controllers ,"132,250",0.006,0.47,0.43,4.9/10
First-Line Supervisors of Gambling Services Workers ,"56,290",0.15,0.63,1,4.9/10
Recreational Vehicle Service Technicians ,"45,030",0.122,0.44,0.53,4.9/10
First-Line Supervisors of Correctional Officers ,"63,310",-0.059,0.1298,0.1563,4.9/10
Travel Guides ,"34,440",0.153,0.44,0.4,4.9/10
"Stone Cutters and Carvers, Manufacturing ","39,590",0.193,0.55,0.63,4.9/10
Brickmasons and Blockmasons ,"59,000",0.022,0.266,0.49,4.9/10
Physical Therapist Aides ,"31,410",0.188,0.43,0.46,4.9/10
Cardiovascular Technologists and Technicians ,"63,020",0.046,0.57,0.38,4.9/10
"Potters, Manufacturing ","39,590",0.193,0.59,0.48,4.9/10
"Fraud Examiners, Investigators and Analysts ","73,810",0.058,0.61,0.51,4.9/10
"Teaching Assistants, Postsecondary ","38,050",0.08,0.43,0.46,4.9/10
Highway Maintenance Workers ,"44,930",0.071,0.61,0.37,4.9/10
Public Safety Telecommunicators ,"46,900",0.036,0.47,0.35,4.9/10
Energy Auditors ,"64,480",-0.044,0.2826,0.65,4.9/10
Intelligence Analysts ,"86,280",-0.007,0.47,0.38,4.9/10
Paralegals and Legal Assistants ,"59,200",0.141,0.89,0.64,4.9/10
Cytogenetic Technologists ,"57,380",0.066,0.77,1,4.8/10
Medical and Clinical Laboratory Technologists ,"57,380",0.066,0.6,0.54,4.8/10
"Rotary Drill Operators, Oil and Gas ","55,260",0.176,0.48,0.57,4.8/10
Aerospace Engineering and Operations Technologists and Technicians ,"74,410",0.059,0.49,0.47,4.8/10
Precision Agriculture Technicians ,"41,760",0.097,0.45,0.56,4.8/10
"Administrative Law Judges, Adjudicators, and Hearing Officers ","94,990",-0.028,0.52,0.35,4.8/10
Social Science Research Assistants ,"50,470",0.113,0.66,0.49,4.8/10
Mechanical Door Repairers ,"47,010",0.114,0.41,0.58,4.8/10
Motorboat Mechanics and Service Technicians ,"48,280",0.083,0.61,0.4,4.8/10
Septic Tank Servicers and Sewer Pipe Cleaners ,"45,610",0.068,0.6,0.35,4.8/10
Remote Sensing Technicians ,"50,290",0.066,0.65,0.83,4.8/10
Civil Engineering Technologists and Technicians ,"59,630",-0.002,0.43,0.41,4.8/10
Patient Representatives ,"44,990",0.067,0.48,0.71,4.7/10
Merchandise Displayers and Window Trimmers ,"35,380",0.046,0.34,0.38,4.7/10
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products ","63,230",0.037,0.63,0.51,4.7/10
First-Line Supervisors of Production and Operating Workers ,"63,510",0.019,0.44,0.55,4.7/10
Bioinformatics Technicians ,"71,700",0.066,0.52,0.54,4.7/10
Rail-Track Laying and Maintenance Equipment Operators ,"63,230",0.044,0.59,0.36,4.7/10
"Floor Layers, Except Carpet, Wood, and Hard Tiles ","48,870",0.094,0.44,0.55,4.7/10
Compensation and Benefits Managers ,"131,280",0.015,0.41,0.63,4.7/10
Concierges ,"35,560",0.112,0.54,0.48,4.7/10
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters ","36,340",0.02,0.52,0.1477,4.7/10
Real Estate Brokers ,"62,190",0.057,0.57,0.47,4.7/10
"Roustabouts, Oil and Gas ","43,590",0.23,0.7,0.68,4.7/10
"Control and Valve Installers and Repairers, Except Mechanical Door ","64,810",0.007,0.42,0.32,4.7/10
Technical Writers ,"79,960",0.055,0.79,0.53,4.7/10
Interpreters and Translators ,"53,640",0.202,0.67,0.57,4.7/10
Automotive Engineering Technicians ,"61,990",0.021,0.43,0.58,4.7/10
Computer Programmers ,"97,800",-0.102,0.52,0.46,4.7/10
Roofers ,"47,920",0.014,0.32,0.41,4.6/10
Editors ,"73,080",-0.051,0.45,0.44,4.6/10
Operating Engineers and Other Construction Equipment Operators ,"51,430",0.046,0.65,0.54,4.6/10
Histotechnologists ,"57,380",0.066,0.87,0.63,4.6/10
Medical and Clinical Laboratory Technicians ,"57,380",0.066,0.78,0.53,4.6/10
"Buyers and Purchasing Agents, Farm Products ","67,620",-0.07,0.54,0.49,4.6/10
Survey Researchers ,"60,410",0.063,0.49,0.53,4.6/10
"Pump Operators, Except Wellhead Pumpers ","55,860",0.114,0.74,0.6,4.6/10
Credit Counselors ,"47,320",0.093,0.65,0.25,4.6/10
Funeral Attendants ,"31,160",0.084,0.62,0.32,4.6/10
Upholsterers ,"39,600",0.033,0.48,0.25,4.6/10
Nanotechnology Engineering Technologists and Technicians ,"61,210",0.033,0.48,0.41,4.6/10
Ophthalmic Medical Technicians ,"38,860",0.147,0.62,0.38,4.6/10
Non-Destructive Testing Specialists ,"65,520",0.021,0.57,0.5,4.6/10
Photonics Technicians ,"65,520",0.021,0.64,0.25,4.6/10
First-Line Supervisors of Housekeeping and Janitorial Workers ,"44,440",0.054,0.53,0.61,4.5/10
Neurodiagnostic Technologists ,"44,990",0.067,0.55,0.0833,4.5/10
Ophthalmic Medical Technologists ,"44,990",0.067,0.55,0.38,4.5/10
Cost Estimators ,"71,200",-0.021,0.45,0.51,4.5/10
Helpers--Extraction Workers ,"43,110",0.155,0.61,0.78,4.5/10
Automotive Service Technicians and Mechanics ,"46,970",0.014,0.55,0.33,4.5/10
First-Line Supervisors of Office and Administrative Support Workers ,"61,370",-0.019,0.52,0.42,4.5/10
"Cooks, Restaurant ","34,110",0.366,0.67,0.52,4.5/10
Nursing Assistants ,"35,760",0.047,0.48,0.43,4.5/10
"Farmers, Ranchers, and Other Agricultural Managers ","75,760",-0.028,0.2658,0.4,4.5/10
Bicycle Repairers ,"36,250",0.052,0.47,0.31,4.5/10
"Earth Drillers, Except Oil and Gas ","51,740",0.091,0.66,0.69,4.5/10
Medical Appliance Technicians ,"42,160",0.053,0.34,0.48,4.5/10
Electro-Mechanical and Mechatronics Technologists and Technicians ,"60,570",-0.036,0.53,0.31,4.5/10
Geodetic Surveyors ,"63,080",0.009,0.38,0.34,4.5/10
Locomotive Engineers ,"74,570",0.047,0.79,0.55,4.4/10
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors ","58,590",-0.062,0.43,0.39,4.4/10
"Glass Blowers, Molders, Benders, and Finishers ","39,590",0.193,0.88,0.47,4.4/10
Architectural and Civil Drafters ,"59,820",-0.012,0.32,0.51,4.4/10
Manicurists and Pedicurists ,"31,130",0.224,0.79,0.46,4.4/10
Police Identification and Records Officers ,"86,280",-0.007,0.54,0.48,4.4/10
Insurance Sales Agents ,"57,860",0.063,0.8,0.56,4.4/10
"Wholesale and Retail Buyers, Except Farm Products ","67,620",-0.07,0.59,0.44,4.4/10
"Electrical and Electronics Installers and Repairers, Transportation Equipment ","73,630",0.035,0.48,0.54,4.4/10
Power Distributors and Dispatchers ,"101,650",-0.066,0.48,0.47,4.4/10
Boilermakers ,"66,920",-0.045,0.43,0.4,4.4/10
Weatherization Installers and Technicians ,"44,890",0.04,0.37,0.5,4.3/10
Stationary Engineers and Boiler Operators ,"67,120",0.04,0.64,0.54,4.3/10
"Petroleum Pump System Operators, Refinery Operators, and Gaugers ","85,090",0.03,0.65,0.52,4.3/10
Psychiatric Aides ,"37,160",0.046,0.2938,0.125,4.3/10
Drywall and Ceiling Tile Installers ,"50,440",0.037,0.57,0.49,4.3/10
Biological Technicians ,"49,650",0.091,0.68,0.5,4.3/10
Geothermal Technicians ,"44,500",0.032,0.44,0.5,4.3/10
Light Truck Drivers ,"40,410",0.1,0.91,0.62,4.3/10
Construction Laborers ,"40,750",0.053,0.53,0.56,4.3/10
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education ","30,920",0.05,0.55,0.4,4.3/10
"Teaching Assistants, Special Education ","30,920",0.05,0.55,0.41,4.3/10
Nuclear Monitoring Technicians ,"100,420",-0.166,0.45,0.1667,4.3/10
Craft Artists ,"38,150",0.051,0.44,0.34,4.3/10
Riggers ,"54,680",0.04,0.54,0.47,4.2/10
Rail Car Repairers ,"62,510",0.037,0.54,0.54,4.2/10
Reinforcing Iron and Rebar Workers ,"51,070",0.03,0.44,0.43,4.2/10
Bailiffs ,"49,100",-0.038,0.51,0.2857,4.2/10
"Molders, Shapers, and Casters, Except Metal and Plastic ","39,590",0.193,0.95,0.78,4.2/10
"Paving, Surfacing, and Tamping Equipment Operators ","47,270",0.055,0.64,0.72,4.2/10
Endoscopy Technicians ,"40,420",0.066,0.71,0.5,4.2/10
"Bus Drivers, Transit and Intercity ","50,890",0.082,0.89,0.62,4.2/10
Automotive Body and Related Repairers ,"47,670",0.028,0.49,0.45,4.2/10
Customs Brokers ,"71,690",0.043,0.86,0.6,4.2/10
Dining Room and Cafeteria Attendants and Bartender Helpers ,"29,120",0.169,0.69,0.59,4.2/10
Correctional Officers and Jailers ,"49,610",-0.103,0.42,0.39,4.2/10
Agricultural Technicians ,"41,760",0.097,0.53,0.59,4.1/10
Barbers ,"34,990",0.083,0.62,0.34,4.1/10
Animal Control Workers ,"39,320",0.048,0.41,0.38,4.1/10
Home Appliance Repairers ,"46,000",0.013,0.59,0.33,4.1/10
Fence Erectors ,"39,840",-0.005,0.44,0.3,4.1/10
Quality Control Analysts ,"50,290",0.066,0.85,0.53,4.1/10
"Painters, Construction and Maintenance ","46,090",0.013,0.54,0.42,4.1/10
"Teaching Assistants, All Other ","30,920",0.05,0.55,0.5,4.1/10
"Model Makers, Wood ","46,940",0.073,0.52,0.54,4.1/10
Manufactured Building and Mobile Home Installers ,"36,820",-0.203,0,0.35,4.0/10
First-Line Supervisors of Retail Sales Workers ,"45,250",-0.052,0.42,0.51,4.0/10
Recycling and Reclamation Workers ,"36,110",0.06,0.87,0.88,4.0/10
Motorcycle Mechanics ,"43,370",0.043,0.46,0.47,4.0/10
Robotics Technicians ,"60,570",-0.036,0.4,0.47,4.0/10
Tour Guides and Escorts ,"34,440",0.153,0.53,0.56,4.0/10
Railroad Conductors and Yardmasters ,"68,180",0.047,0.66,0.66,4.0/10
Travel Agents ,"46,400",0.197,0.81,0.67,4.0/10
Water and Wastewater Treatment Plant and System Operators ,"51,600",-0.069,0.58,0.38,4.0/10
Sheet Metal Workers ,"55,350",-0.008,0.49,0.49,4.0/10
"Purchasing Agents, Except Wholesale, Retail, and Farm Products ","67,620",-0.07,0.48,0.57,3.9/10
Loan Officers ,"65,740",0.035,0.83,0.6,3.9/10
Cytotechnologists ,"57,380",0.066,0.92,0.73,3.9/10
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop ","27,720",0.151,0.78,0.64,3.9/10
Stonemasons ,"50,210",-0.05,0.2492,0.54,3.9/10
Cartographers and Photogrammetrists ,"71,890",0.026,0.52,0.62,3.9/10
Forest and Conservation Technicians ,"41,520",-0.02,0.2479,0.33,3.9/10
Baggage Porters and Bellhops ,"31,510",0.194,0.58,0.6,3.9/10
Power Plant Operators ,"93,060",-0.155,0.74,0.47,3.9/10
Biomass Plant Technicians ,"93,060",-0.155,0.68,0.7,3.9/10
Agricultural Equipment Operators ,"37,780",0.121,0.88,0.94,3.9/10
Plasterers and Stucco Masons ,"49,730",0.04,0.48,0.5,3.9/10
Transportation Inspectors ,"79,570",0.018,0.64,0.62,3.9/10
"Opticians, Dispensing ","39,610",0.037,0.54,0.5,3.9/10
Appraisers and Assessors of Real Estate ,"61,560",0.04,0.74,0.57,3.9/10
Retail Loss Prevention Specialists ,"36,460",0.058,0.65,0.42,3.9/10
Cargo and Freight Agents ,"46,860",0.088,0.74,0.74,3.9/10
Freight Forwarders ,"46,860",0.088,0.9,0.63,3.9/10
Cement Masons and Concrete Finishers ,"48,300",-0.034,0.58,0.4,3.8/10
"Patternmakers, Wood ","44,290",0.078,0.66,0.86,3.8/10
Pile Driver Operators ,"64,310",0.06,0.69,0.73,3.8/10
Animal Breeders ,"45,320",0.043,0.78,0.37,3.8/10
Waiters and Waitresses ,"29,120",0.103,0.71,0.68,3.8/10
Landscaping and Groundskeeping Workers ,"35,890",0.048,0.86,0.43,3.8/10
Tapers ,"62,360",-0.008,0.64,0.4,3.8/10
Chemical Technicians ,"50,840",0.045,0.67,0.52,3.8/10
"News Analysts, Reporters, and Journalists ","55,960",-0.086,0.47,0.4,3.8/10
Glaziers ,"48,720",0.04,0.56,0.5,3.8/10
Tree Trimmers and Pruners ,"47,080",0.034,0.65,0.45,3.8/10
Crane and Tower Operators ,"61,340",0.004,0.72,0.5,3.8/10
Cabinetmakers and Bench Carpenters ,"38,810",0.035,0.57,0.49,3.8/10
"Bus Drivers, School ","41,270",0.066,0.87,0.65,3.7/10
Machinists ,"48,510",0.024,0.72,0.53,3.7/10
"Claims Adjusters, Examiners, and Investigators ","72,230",-0.058,0.67,0.59,3.7/10
Histology Technicians ,"57,380",0.066,0.87,0.75,3.7/10
"Umpires, Referees, and Other Sports Officials ","36,010",0.317,0.62,0.66,3.7/10
Sailors and Marine Oilers ,"47,490",0.004,0.6,0.41,3.7/10
Audiovisual Equipment Installers and Repairers ,"44,960",-0.026,0.42,0.41,3.7/10
Gambling Dealers ,"29,120",0.192,0.89,0.6,3.7/10
Medical Equipment Preparers ,"41,480",0.06,0.76,0.59,3.7/10
Surveying and Mapping Technicians ,"47,180",0.036,0.6,0.64,3.7/10
"Hotel, Motel, and Resort Desk Clerks ","28,910",0.144,0.72,0.66,3.6/10
Medical Records Specialists ,"47,180",0.066,0.92,0.72,3.6/10
Bakers ,"32,780",0.081,0.84,0.54,3.6/10
"Explosives Workers, Ordnance Handling Experts, and Blasters ","56,670",0.015,0.42,0.52,3.6/10
"Layout Workers, Metal and Plastic ","58,260",-0.1,0.46,0.75,3.6/10
Heavy and Tractor-Trailer Truck Drivers ,"49,920",0.043,0.88,0.65,3.6/10
Models ,"43,130",0.092,0.81,0.48,3.6/10
Baristas ,"27,930",0.076,0.74,0.66,3.6/10
Nuclear Technicians ,"100,420",-0.166,0.65,0.5,3.6/10
Industrial Truck and Tractor Operators ,"41,230",0.071,0.9,0.7,3.6/10
Electrical and Electronics Drafters ,"64,240",-0.001,0.54,0.6,3.6/10
Dietetic Technicians ,"33,960",0.047,0.44,0.54,3.6/10
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers ","67,540",0.012,0.84,0.58,3.6/10
Locksmiths and Safe Repairers ,"47,400",-0.148,0.5,0.35,3.6/10
"Electric Motor, Power Tool, and Related Repairers ","48,260",0.039,0.48,0.55,3.6/10
Wellhead Pumpers ,"63,280",0.033,0.82,0.69,3.6/10
Hazardous Materials Removal Workers ,"46,690",-0.003,0.4,0.61,3.6/10
Floral Designers ,"33,160",-0.21,0.5,0.2879,3.6/10
Budget Analysts ,"82,260",0.028,0.89,0.68,3.6/10
Reservation and Transportation Ticket Agents and Travel Clerks ,"39,160",0.074,0.71,0.67,3.5/10
Advertising Sales Agents ,"58,450",-0.079,0.52,0.59,3.5/10
Executive Secretaries and Executive Administrative Assistants ,"65,980",-0.202,0.72,0.58,3.5/10
Dishwashers ,"29,080",0.099,0.91,0.73,3.5/10
Subway and Streetcar Operators ,"88,260",0.035,0.83,0.77,3.5/10
"Insulation Workers, Floor, Ceiling, and Wall ","45,380",0.038,0.57,0.57,3.4/10
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers ","58,430",-0.194,0.54,0.65,3.4/10
Segmental Pavers ,"44,890",0.04,0.43,0.68,3.4/10
"Excavating and Loading Machine and Dragline Operators, Surface Mining ","48,350",-0.001,0.59,0.56,3.4/10
Broadcast Technicians ,"60,700",-0.02,0.53,0.63,3.4/10
Conveyor Operators and Tenders ,"36,890",0.07,0.86,0.68,3.4/10
Tool and Die Makers ,"59,800",-0.064,0.74,0.54,3.4/10
"Helpers--Installation, Maintenance, and Repair Workers ","35,100",0.038,0.58,0.47,3.4/10
Farm Labor Contractors ,"49,330",0.223,1,0.75,3.4/10
Cooling and Freezing Equipment Operators and Tenders ,"42,890",0.062,0.75,0.5,3.4/10
Nuclear Power Reactor Operators ,"115,870",-0.268,0.73,0.58,3.4/10
"Rail Yard Engineers, Dinkey Operators, and Hostlers ","56,340",0.021,0.67,0.75,3.4/10
Forest and Conservation Workers ,"32,270",-0.034,0.4,0.32,3.4/10
Medical Secretaries and Administrative Assistants ,"38,500",0.08,0.89,0.79,3.4/10
Security Guards ,"34,750",0.034,0.54,0.58,3.4/10
Maids and Housekeeping Cleaners ,"29,960",0.094,0.82,0.65,3.4/10
Hoist and Winch Operators ,"58,950",0.01,0.8,0.88,3.4/10
Carpet Installers ,"45,240",-0.09,0.49,0.4,3.3/10
Biofuels Processing Technicians ,"57,470",0.004,0.69,1,3.3/10
Food Science Technicians ,"47,860",0.076,0.77,0.84,3.3/10
Mechanical Drafters ,"61,310",-0.085,0.48,0.58,3.3/10
Pipelayers ,"45,990",-0.026,0.5,0.52,3.3/10
Orderlies ,"34,520",0.047,0.72,0.44,3.3/10
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders ","43,960",0.028,0.87,0.75,3.3/10
Chemical Equipment Operators and Tenders ,"49,330",-0.05,0.77,0.82,3.3/10
Insurance Underwriters ,"76,230",-0.045,0.82,0.7,3.3/10
"Production, Planning, and Expediting Clerks ","50,630",0.05,0.99,0.78,3.3/10
Pharmacy Technicians ,"37,790",0.05,0.73,0.67,3.3/10
"Cooks, Institution and Cafeteria ","32,510",0.063,0.69,0.7,3.3/10
Postmasters and Mail Superintendents ,"82,760",-0.048,0.51,0.78,3.2/10
"Geological Technicians, Except Hydrologic Technicians ","48,490",0.052,0.66,0.59,3.2/10
Broadcast Announcers and Radio Disc Jockeys ,"41,750",-0.114,0.51,0.42,3.2/10
"Pesticide Handlers, Sprayers, and Applicators, Vegetation ","41,440",0.058,0.75,0.63,3.2/10
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders ","39,480",0.042,0.97,0.63,3.2/10
Helpers--Electricians ,"37,070",-0.028,0.52,0.46,3.2/10
Laundry and Dry-Cleaning Workers ,"29,060",0.119,0.97,0.65,3.2/10
Loan Interviewers and Clerks ,"46,490",-0.007,0.89,0.96,3.2/10
"Food Servers, Nonrestaurant ","30,300",0.07,0.71,0.75,3.2/10
Fabric and Apparel Patternmakers ,"60,320",-0.127,0.53,0.52,3.2/10
Terrazzo Workers and Finishers ,"52,330",-0.112,0.53,0.71,3.2/10
Helpers--Roofers ,"37,020",0.019,0.38,0.58,3.2/10
Tire Builders ,"51,650",0.081,1,0.78,3.1/10
Chemical Plant and System Operators ,"82,670",-0.011,0.91,0.56,3.1/10
Gas Plant Operators ,"79,460",-0.09,0.63,0.66,3.1/10
Taxi Drivers ,"30,670",0.285,0.78,0.85,3.1/10
Automotive Glass Installers and Repairers ,"43,700",0.044,0.74,0.55,3.1/10
Judicial Law Clerks ,"57,490",-0.005,0.92,0.49,3.1/10
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders ","46,250",0.009,0.87,0.83,3.1/10
"Coin, Vending, and Amusement Machine Servicers and Repairers ","39,690",0.049,0.94,0.53,3.1/10
Outdoor Power Equipment and Other Small Engine Mechanics ,"40,030",0.031,0.68,0.51,3.1/10
Demonstrators and Product Promoters ,"34,770",0.024,0.57,0.46,3.1/10
Transportation Security Screeners ,"47,710",-0.014,0.66,0.69,3.1/10
"Ushers, Lobby Attendants, and Ticket Takers ","27,650",0.405,0.92,0.91,3.1/10
Refuse and Recyclable Material Collectors ,"43,540",0.054,0.89,0.69,3.1/10
Driver/Sales Workers ,"32,690",0.12,0.96,0.8,3.1/10
"Welders, Cutters, Solderers, and Brazers ","47,540",0.016,0.88,0.58,3.1/10
Postal Service Mail Carriers ,"54,250",-0.048,1,0.54,3.1/10
Cleaners of Vehicles and Equipment ,"31,000",0.058,0.87,0.6,3.1/10
Gambling Surveillance Officers and Gambling Investigators ,"35,970",0.085,0.79,0.68,3.0/10
Shampooers ,"27,860",0.106,0.72,0.71,3.0/10
"Electronic Equipment Installers and Repairers, Motor Vehicles ","41,600",-0.234,0.37,0.54,3.0/10
Traffic Technicians ,"50,050",0.023,0.55,0.73,3.0/10
Jewelers and Precious Stone and Metal Workers ,"47,140",0.014,0.71,0.52,3.0/10
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation ","79,570",0.018,0.88,0.86,3.0/10
"Computer, Automated Teller, and Office Machine Repairers ","44,910",-0.036,0.65,0.54,3.0/10
Structural Metal Fabricators and Fitters ,"47,200",-0.158,0.74,0.44,3.0/10
Crossing Guards and Flaggers ,"33,380",0.092,0.87,0.71,3.0/10
